1992/8/22,スーパー麻雀,アイマックス,8000
1992/8/27,スーパーマリオカート,任天堂,8900
1992/8/28,CBキャラウォーズ 失われたギャ〜グ,バンプレスト,8500
1992/8/28,ウルトラベースボール実名版,マイクロアカデミー,8800
1992/9/11,アクスレイ,コナミ,8800
1992/9/11,アクロバットミッション,テイチク,8800
1992/9/12,SD機動戦士ガンダム V作戦始動,エンジェル,7800
1992/9/12,スーパー麻雀大会,光栄,9800
1992/9/18,スーパーガチャポンワールド SDガンダムX,ユタカ,9500
1992/9/18,ワイアラエの奇蹟,T&Eソフト,9800
1992/9/24,提督の決断,光栄,14800
1992/9/25,ソニックブラストマン,タイトー,8900
1992/9/25,大戦略エキスパート,アスキー,9800
1992/9/25,銀河英雄伝説,徳間書店インターメディア,9800
1992/9/25,ぎゅわんぶらあ自己中心派 麻雀皇位戦,パルソフト,8800
1992/9/27,ドラゴンクエストV 天空の花嫁,エニックス,9600
1992/9/29,スカイミッション,ナムコ,8300
1992/10/9,ロードモナーク,エポック社,8800
1992/10/16,リターン・オブ・ダブルドラゴン,テクノスジャパン,8600
1992/10/22,スーパーロイヤルブラッド,光栄,9800
1992/10/23,スーパーF1サーカスリミテッド,日本物産,9200
1992/10/23,アダムスファミリー,ミサワエンターテインメント,8800
1992/10/29,コズモギャング ザ ビデオ,ナムコ,7900
1992/10/30,真・女神転生,アトラス,9800
1992/10/30,サイバーナイト,トンキンハウス,8900
1992/11/6,スーパーリニアボール,ヒロ,8000
1992/11/8,三國志III,光栄,14800
1992/11/13,レナス,アスミック,9600
1992/11/13,スーパーSWIV,ココナッツジャパンエンターテイメント,9500
1992/11/20,ヒーロー戦記 プロジェクト オリュンポス,バンプレスト,9600
1992/11/20,ミッキーのマジカルアドベンチャー,カプコン,8500
1992/11/20,ウィザードリィV,アスキー,9800
1992/11/20,ヒューマン・グランプリ,ヒューマン,9700
1992/11/20,アメリカ横断ウルトラクイズ,トミー,8700
1992/11/20,北斗の拳6 激闘伝承拳覇王への道,東映動画,8900
1992/11/20,対決!! ブラスナンバーズ,レーザーソフト,8500
1992/11/21,カコマナイト,データム・ポリスター,7800
1992/11/27,アウターワールド,ビクターエンタテインメント,8800
1992/11/27,ロイヤルコンクエスト,ジャレコ,8500
1992/11/27,餓狼伝説,タカラ,9800
1992/11/27,ガンフォース,アイレム,8300
1992/11/27,バルバロッサ,サミー,9800
1992/11/27,バレーボールTwin,トンキンハウス,8900
1992/11/27,あしたのジョー,ケイアミューズメントリース,8900
1992/11/27,ソングマスター,やのまん,9000
1992/11/27,パワーアスリート,KANEKO,8500
1992/12/4,メジャータイトル,アイレム,8800
1992/12/4,芹沢信雄のバーディトライ,東宝,9600
1992/12/4,スーパーブラックバス,ホット・ビィ,9800
1992/12/4,ミステリーサークル,ケイアミューズメントリース,8300
1992/12/6,ファイナルファンタジーV,スクウェア,9800
1992/12/11,バトルサッカー フィールドの覇者,バンプレスト,9500
1992/12/11,弁慶外伝 沙の章,サンソフト,9600
1992/12/11,飛龍の拳S ハイパーバージョン,カルチャーブレーン,9700
1992/12/11,白熱プロ野球ガンバリーグ'93,エピックソニーレコード,9500
1992/12/11,大相撲魂,タカラ,9000
1992/12/11,パチ夫くんスペシャル,ココナッツジャパンエンターテイメント,9800
1992/12/11,サイコドリーム,日本テレネット,8900
1992/12/14,機動装甲ダイオン,ビック東海,8500
1992/12/18,スーパー大相撲 熱戦大一番,ナムコ,8800
1992/12/18,タイニー・トゥーン アドベンチャーズ,コナミ,8000
1992/12/18,SDガンダム外伝2 円卓の騎士‎,ユタカ,9500
1992/12/18,戦え原始人2 ルーキーの冒険,データイースト,8000
1992/12/18,スーパーテトリス2+ボンブリス,BPS,8500
1992/12/18,アメージングテニス,パックインビデオ,8800
1992/12/18,スーパーニチブツマージャン,日本物産,8800
1992/12/18,ステルス,ヘクト,9700
1992/12/18,重装機兵ヴァルケン,日本コンピュータシステム,8800
1992/12/18,中嶋悟監修 SUPER F1 HERO,バリエ,8900
1992/12/18,スーパー・スター・ウォーズ,ビクターエンタテインメント,8800
1992/12/18,フライングヒーロー ぶぎゅる〜の大冒険,ソフエル,8800
1992/12/18,ナグザットスーパーピンボール 邪鬼破壊,ナグザット,8500
1992/12/19,半熟英雄 ああ、世界よ半熟なれ…!!,スクウェア,9500
1992/12/21,46億年物語 はるかなるエデンへ,ゲームプラン21,9600
1992/12/22,ラッシング・ビート乱 複製都市,ジャレコ,9600
1992/12/22,LOONEY TUNES ロードランナーVSワイリーコヨーテ,サンソフト,8600
